title,author,type,audience,genre,faust_numbers,isbns,n_loans,top10k
Serotonin,Michel Houellebecq,Bog,voksenmaterialer,samfundskritik,46152654;46932188;46917685;2476576,99122758028405763;99122809105805763;99122110928805763;99122405190605763,4956,1398
Postkortet,Anne Berest,Bog,voksenmaterialer,"biografiske romaner,historiske romaner,slægtsromaner",134776196,,4891,1399
Vovserne fejrer fødselsdag,Scott Albert,Billedbog,børnematerialer,skønlitteratur,39285754,,4888,1400
Vølvens vej - misteltenen,Anne-Marie Vedsø Olesen,Bog,voksenmaterialer,historiske romaner,134042222;136197363,,4887,1401
Alletiders Pippi Langstrømpe,Astrid Lindgren,Billedbog,børnematerialer,sjove bøger,47857481,99123331804705763;99123331790605763,4883,1402
Portræt af døden,Julie Hastrup,Bog,voksenmaterialer,krimi,29955530;38456466;51336534;50961885,99122594245005763;99122049247105763,6606,1403
Aldrig mere fri,Sara Blædel,Bog,voksenmaterialer,krimi,28713959;27228003;27218784;28633742,99122434429105763;99122069199205763;99122846384705763,6594,1404
Yahya Hassan 2,Yahya Hassan (f. 1995),Bog,voksenmaterialer,skønlitteratur,47366585,,4874,1405
"Fødselsdagsfest, Alfons Åberg!",Gunilla Bergström (f. 1942),Billedbog,børnematerialer,skønlitteratur,06426662;25032586;21085766,,4970,1406
Gæsten,Lee Child,Bog,voksenmaterialer,spænding,38600478;53575080;38289969;28771517;23132133;06176720,99122802520305763;99122361772705763,5998,1407
Lykkelige Alfons Åberg,Gunilla Bergström (f. 1942),Billedbog,børnematerialer,skønlitteratur,06220568;24341682,99122266600305763;99122829741905763;99122612072705763,5148,1408
Kaskelotternes sang,Bent Haller,Bog,børnematerialer,skønlitteratur,52382084;06718361;22057901;05725283;06136060,99121978253405763;99122338813305763;99122085763405763,6243,1409
Eves sandhed,Muna Shehadi,Bog,voksenmaterialer,skønlitteratur,39447754,99123868915305763;99123997042305763,4864,1410
Pigen i labyrinten,Guillaume Musso,Bog,voksenmaterialer,spænding,61358773;61910646;62314699,99123924546405763,4886,1411
Frost,Christian Bach (f. 1979-02-06),Bog,børnematerialer,eventyr,47435277;52817730;61875816;52048303;51030176;51658604;51901924;25329589;51921445;43327232;23814250;43013548;45851184;000064104,99122818232905763;99122818197505763;99121926801105763,17895,1412
After. Del 1,Anna Todd,Bog,voksenmaterialer,skønlitteratur,46278518;51702964;62379804,99121993039805763__1,7057,1413
Første advarsel,Michael Connelly,Bog,voksenmaterialer,"it-kriminalitet,krimi",38753096;40057277,,4843,1414
Et forjættet land,Mari Jungstedt,Bog,voksenmaterialer,"krimi,politiromaner",53831273;38248022;46082109;54141319,99121971231805763;99122727313305763,9758,1415
Geiger,Gustaf Skördeman,Bog,voksenmaterialer,krimi,48426271,,4840,1416
Ib og My,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,52617138,,4840,1417
De bedste historier,Jan Lööf,Billedbog,børnematerialer,skønlitteratur,54170130,,4839,1418
Caféen i Cornwall,Lucy Diamond (f. 1970),Bog,voksenmaterialer,chick lit,61418423,,4837,1419
Lotte hos tandlægen,Gunilla Wolde,Billedbog,børnematerialer,skønlitteratur,07071477;52737281;05060532,,4944,1420
Tim på en ø,Rikke Mølbak,Bog,børnematerialer,skønlitteratur,28124066,,4836,1421
Det rene guld,"Karin Slaughter,Lee Child",Bog,voksenmaterialer,"kriminalitet,spænding",46992261,,4830,1422
Blindtunnel,Tove Alsterdal,Bog,voksenmaterialer,krimi,46327438,,4827,1423
Liv - den fantastiske historie om evolution,"Jakob Brodersen,Pernille Engsig Eskildsen (f. 1973)",Billedbog,"folkeskoleniveau,børnematerialer",udviklingslære i alm.,54955499,,4827,1424
Høstkarl i himlen,Edvard Hoem,Bog,voksenmaterialer,"historiske romaner,landliv,samfundsskildringer,slægtsromaner",54486901,,4824,1425
Turen går til London,Gunhild Riske,Bog,"alment niveau,voksenmaterialer",enkelte lokaliteter i england og wales,53976026;51892127;29853932;28692692;26820359,99122805364805763;99122680375305763;99122633956505763;99122814217905763;99122447681005763,6166,1426
Vovserne redder en babyblæksprutte,,Billedbog,børnematerialer,skønlitteratur,48663702,99123486075305763,4820,1427
Min Kristin,Maria Helleberg,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",48903592,,4812,1428
Mig og min hjerne,Charlotte Louise Koldbye,Bog,"folkeskoleniveau,børnematerialer",nervefysiologi,46232836,,4809,1429
Star Girl - forfulgt?,Nicole Boyle Rødtnes,Bog,børnematerialer,skønlitteratur,47475104,,4808,1430
En kvindes forvandling,Édouard Louis,Bog,voksenmaterialer,skønlitteratur,61855483,,4804,1431
Naja Münster - en nat i centret,Line Kyed Knudsen,Bog,børnematerialer,skønlitteratur,62334886,,4797,1432
Miras jul,Sabine Lemire,Bog,børnematerialer,kalenderhistorier,48982301,,4794,1433
Babystrik på pinde 3,Lene Holme Samsøe,Bog,"alment niveau,voksenmaterialer",strikning,54801505;29830169;48394205;53817114,99122001440705763;99122180660105763;99123535364305763,13248,1434
Vovserne redder en superstjerne,,Billedbog,børnematerialer,skønlitteratur,38892576,,4787,1435
Usynligt med Alfons Åberg,Gunilla Bergström (f. 1942),Billedbog,børnematerialer,skønlitteratur,22206087;25946146,99122976312605763,4873,1436
