title,author,type,audience,genre,faust_numbers,isbns,n_loans
Meter i sekundet,Stine Pilgaard,Bog,voksenmaterialer,samfundssatire,48121543;38647253;48859305;99123358263105763,<NA>,67685
Hvor flodkrebsene synger,Delia Owens,Bog,voksenmaterialer,udviklingsromaner,47109353;39222353;47876729;99123305022705763;99122842896205763;99123801506205763,<NA>,65332
Opløst,"Sara Blædel,Mads Peder Nordbo",Bog,voksenmaterialer,krimi,39190001;99124057498505763;99123870794905763,<NA>,42045
Pigen under træet,Sara Blædel,Bog,voksenmaterialer,krimi,47051649;47606411;99123305384905763,<NA>,42834
Den tavse enke,Sara Blædel,Bog,voksenmaterialer,krimi,48648762,<NA>,41387
Satans sommer,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",47678633;61745955;38339346;99123914999305763;99123440325405763;99123359184605763,<NA>,40309
Natrium Chlorid,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",39615495,<NA>,38080
Solsøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46656172;99123897816505763,<NA>,37515
Den forsvundne søster,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,38500775;135126209;99121919926705763;99123895807505763,<NA>,39733
Tabita,Iben Mondrup,Bog,voksenmaterialer,samfundsskildringer,47548764;48596568;99123305429405763;991001020419803861,<NA>,36941
Annas sang,Benjamin Koppel,Bog,voksenmaterialer,skønlitteratur,62591943;22216597;62799048;99124090981505763;99122982201005763,<NA>,36614
Kvæler,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",39185474;134575174,<NA>,36198
Søstrene fra Thy,Maria Helleberg,Bog,voksenmaterialer,slægtsromaner,54189214;47700485;99123305660805763;99124111738105763,<NA>,34611
Sallys far er langt ude i skoven,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,46670051,<NA>,34386
Sommerfugleværelset,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,47073367,<NA>,34304
Vinterland,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",46282736;48818161;46670779;99122911886105763;99122522788905763;99123520480205763,<NA>,33869
Pigen fra det store hvide skib,"Jesper Bugge Kold,Mich Vraa",Bog,voksenmaterialer,historiske romaner,38609718;135063916;99123664483605763;99124146957005763,<NA>,33445
Mysteriet i Genbrugsen,Anna Grue,Bog,voksenmaterialer,"krimi,kriminalsager",47684323;39067587;99123331906805763;99123801570205763,<NA>,32666
Isola,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",48648797;25897102;48984878;99123520472305763,<NA>,31683
Sallys far har mandeinfluenza,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",48671098;99123474430005763,<NA>,31111
Vådeskud,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",46897862;48344038,<NA>,30436
Hvide blomster,Sissel-Jo Gazan,Bog,voksenmaterialer,udviklingsromaner,48839703;99123485144605763;99123832538305763,<NA>,30007
Mord på kostskolen,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,62199733;99124062330705763,<NA>,29969
Nattens udyr,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,48839797,<NA>,29764
Vand til blomster,Valérie Perrin,Bog,voksenmaterialer,"dagbøger,dannelsesromaner",61510141;135638838,<NA>,29737
Kvinde set fra ryggen,Jesper Wung-Sung,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",38748424;61912398;99123742066605763,<NA>,29729
Sallys far er en dårlig taber,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",38380176,<NA>,29365
Offer 2117,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",46272048;46926862;99122859739305763;99122988598905763,<NA>,29454
Helenas hemmelighed,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46411005;38484842;99123649357605763,<NA>,28754
Skyggedanseren,Sara Omar,Bog,voksenmaterialer,samfundskritik,47385555;47606438;48976344;47720672,<NA>,31058
Sallys far bliver youtuber,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,39081253;99123792457505763,<NA>,28393
Kaptajnen og Ann Barbara,Ida Jessen (f. 1964),Bog,voksenmaterialer,"historiske romaner,landliv",48888445;38656147;99123532513805763;9920911068705762;99123801941605763;2627022,<NA>,28418
Det er de danske som flygter,"Lise Ringhof,Erik Valeur",Bog,voksenmaterialer,"historiske romaner,samfundsskildringer,slægtsromaner",48487327;99123456855705763;9920896968205762,<NA>,27901
Som natten kender stjernerne,Elsebeth Egholm,Bog,voksenmaterialer,skønlitteratur,48488161,<NA>,27846
"Indtil vanvid, indtil døden",Kirsten Thorup,Bog,voksenmaterialer,skønlitteratur,47588529;62768037;99123331902705763;99123355219705763,<NA>,27063
Rampen,Jesper Stein,Bog,voksenmaterialer,"biografiske romaner,udviklingsromaner",48839711;39322676;99123542594105763;99123820345405763;2627021,<NA>,27053
Skytsengel,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,47079888;61602054;99123313462105763,<NA>,26762
Ræk mig stjernerne,Jojo Moyes,Bog,voksenmaterialer,skønlitteratur,46831438;38519743;99122777825705763;39450666,<NA>,26189
En lykkelig slutning,Maren Uthaug,Bog,voksenmaterialer,slægtsromaner,47239893;99123304117005763;2555464,<NA>,25705
Imperiet,Michael Katz Krefeld,Bog,voksenmaterialer,skønlitteratur,61383921;54198205;20759704;24967379;21783803;99122851306805763;99122311491505763;99122267252505763,<NA>,25793
De syv søstre,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,52557240;53292968;46615743;99122333663305763;05082587;99121998114705763;99122716651305763;99122911812905763;99122344727705763,<NA>,29378
Elins død,Sara Blædel,Bog,voksenmaterialer,krimi,134692448,<NA>,25231
Vinger af sølv,Camilla Läckberg,Bog,voksenmaterialer,"psykologisk thriller,spænding",48486789;61744428,<NA>,25014
Kvinderne fra Thy,Maria Helleberg,Bog,voksenmaterialer,"landliv,slægtsromaner",52673542;62616822;53231799;99124111753905763;99122537113305763,<NA>,24937
Det gyldne bur,Camilla Läckberg,Bog,voksenmaterialer,"domestic noir,psykologisk thriller",46370678;27687490;48352111;28757204;99122500845205763;99122977283205763;99123419305805763,<NA>,25316
Vildskud,Julie Hastrup,Bog,voksenmaterialer,"femikrimi,krimi",47763509;46733924;06162223;25755510;61744495;99122979497605763;10337682;99122792270705763;99123914743705763,<NA>,25097
Frank vender hjem,Kristian Bang Foss,Bog,voksenmaterialer,skønlitteratur,46944569;47219043;99122808245505763;99124123659505763;99123304165605763,<NA>,24114
Det brændende blad,Katrine Engberg,Bog,voksenmaterialer,krimi,134490012,<NA>,24004
Skyggeriget,,Bog,voksenmaterialer,,134015012;51914759,<NA>,23961
Jeg kan se dig,Mari Jungstedt,Bog,voksenmaterialer,"krimi,politiromaner",48295622;61458476;99123890705005763,<NA>,23858
Barnet fra Thy,Maria Helleberg,Bog,voksenmaterialer,slægtsromaner,61586725;99123904235805763;99124061322305763,<NA>,23843
Den røde glente,Elsebeth Egholm,Bog,voksenmaterialer,skønlitteratur,62356456;99124060228605763,<NA>,23639
Polarcirklen,Liza Marklund,Bog,voksenmaterialer,krimi,61473297,<NA>,23120
Kongeriget,Jo Nesbø,Bog,voksenmaterialer,spænding,48486762;23769999,<NA>,23093
Lenins bodyguard,Leif Davidsen,Bog,voksenmaterialer,skønlitteratur,62208066;99124056849505763,<NA>,23056
Mørket kalder,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,54945094;47472636,<NA>,23075
Tre dage i april,"Jesper Bugge Kold,Mich Vraa",Bog,voksenmaterialer,skønlitteratur,62267054;99124074671405763;136202804,<NA>,22850
"Den, der lever stille",Leonora Christina Skov,Bog,voksenmaterialer,biografiske romaner,53787452;54802196;99122399666105763,<NA>,23428
Døden i kurbadet,Anna Grue,Bog,voksenmaterialer,"krimi,kriminalsager",39074184;62795522,<NA>,22740
Månesøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,54189141;47137721;38467212;99123304149205763,<NA>,22922
Mimbo Jimbo bygger et fyrtårn,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",52088437,<NA>,22420
11%,Maren Uthaug,Bog,voksenmaterialer,"dystopier,fremtidsfortællinger",134136391;135114138,<NA>,22270
Den utrolige historie om den kæmpestore pære,Jakob Martin Strid,Billedbog,børnematerialer,"eventyrlige fortællinger,sjove bøger,spænding",29269815;134560037,<NA>,23434
Uglens øje,Sissel-Jo Gazan,Bog,voksenmaterialer,skønlitteratur,62701641;99124247909905763,<NA>,22045
Man skulle nok have været der,Thomas Korsgaard (f. 1995),Bog,voksenmaterialer,skønlitteratur,39055686;39485958;61555145,<NA>,22116
Forræderens børn,Leif Davidsen,Bog,voksenmaterialer,spænding,48140122;99123361266405763,<NA>,21795
Perlesøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,53802001;46615735;38456555;99123646152605763,<NA>,22182
Inden skyerne kommer,Mari Jungstedt,Bog,voksenmaterialer,krimi,38723286,<NA>,21545
Skyggesøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,53280749;54199287;46615867;99122713192905763,<NA>,22659
Stormsøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,52970628;54076207;46615751;99122785074805763;99122375732305763;99122859817205763,<NA>,23151
Sallys far slår til igen,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,61431217,<NA>,21000
Sallys far er sygt pinlig,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,52386950;46718992,<NA>,34575
Kærlighedsbrevet,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,54166265;21837261;46589009;24036677;99122859758705763,<NA>,20615
De usynlige,Lone Theils,Bog,voksenmaterialer,krimi,38609734;51212304;52042453;29413053;45460908;25714091;134007745;20114231;06786642;99122801312805763;99124085527905763;99124013258705763;62626534;45865169,<NA>,25769
Sallys fars fede ferie,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",54260180;46938178,<NA>,33962
Vaniljehuset,Mich Vraa,Bog,voksenmaterialer,historiske romaner,48004156;39145561;99123359464905763,<NA>,20390
Box,"Camilla Läckberg,Henrik Fexeus",Bog,voksenmaterialer,krimi,39517132;39385082,<NA>,20298
Sallys far bander (- ad helvede til),Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",53259235;46712838;99121913414605763,<NA>,34233
Gopler ældes baglæns,Nicklas Brendborg,Bog,"alment niveau,voksenmaterialer",gerontologi,38714554;2624018,<NA>,20169
Savnet,Lone Theils,Bog,voksenmaterialer,"krimi,politiromaner",46608674;51273710;48919715;53072836;27543820;23991330;51756800;24885429;53599990;54542925;99122582043705763;99123532478605763;99122127607505763,<NA>,32799
Mimbo Jimbo og den lange vinter,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",51363035;51515951,<NA>,19967
Det samme og noget helt andet,Katrine Marie Guldager,Bog,voksenmaterialer,biografiske romaner,38549545;62767723,<NA>,19720
Sallys far gider ikke være voksen,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,51923367;46938143,<NA>,33787
Vindens port,Anne-Cathrine Riebnitzsky,Bog,voksenmaterialer,historiske romaner,61411437;62177136;2706903,<NA>,19190
Kryb,Julie Hastrup,Bog,voksenmaterialer,skønlitteratur,62600772;29960917,<NA>,19402
Hvis der skulle komme et menneske forbi,Thomas Korsgaard (f. 1995),Bog,voksenmaterialer,skønlitteratur,52889111;54679556;53383033;99122908676605763;99123520499205763;99122654180305763;99122056517705763,<NA>,21994
Offermageren,Viveca Sten,Bog,voksenmaterialer,krimi,38617222,<NA>,19035
Sallys far kringler julen,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",47227232;99123305161305763,<NA>,18967
Vitello begynder i skole,Kim Fupz Aakeson,Billedbog,børnematerialer,sjove bøger,47934702;99123331808905763;99123331790705763,<NA>,18799
Når violerne blomstrer,Sarah Jio,Bog,voksenmaterialer,chick lit,48232124;39534045,<NA>,18824
Spejlmanden,Lars Kepler,Bog,voksenmaterialer,"krimi,politiromaner",48489613,<NA>,18752
Øjet der ser,Jeffrey Archer,Bog,voksenmaterialer,"kriminalitet,spænding",47678749,<NA>,18671
Vittu,Iben Mondrup,Bog,voksenmaterialer,skønlitteratur,61860762;134513845;99123932989305763;99124124466505763,<NA>,18634
Undergravet,Lone Theils,Bog,voksenmaterialer,krimi,39160358,<NA>,18392
Flunkerne i H.C. Andersens univers,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,"eventyr,gå på opdagelse",47303087,<NA>,18268
Døden mellem linjerne,Elly Griffiths,Bog,voksenmaterialer,krimi,39082144,<NA>,18220
Gladiator,Jens Henrik Jensen (f. 1963),Bog,voksenmaterialer,spænding,39082713;52387019;28092067;48973868;52474701;45177033;99122032007905763;23664798;61561242;48369235;9920592356605762;99122909420705763,<NA>,19143
Stilleleg,Lone Theils,Bog,voksenmaterialer,krimi,47110173;48328016;28381514;99123419306905763,<NA>,18597
Kvinden i blåt,Elly Griffiths,Bog,voksenmaterialer,krimi,38656996;134541571,<NA>,18135
Hvis vi ikke taler om det,Leonora Christina Skov,Bog,voksenmaterialer,"biografiske romaner,dannelsesromaner",38762311,<NA>,17946
Nøglen til mord,Anna Grue,Bog,voksenmaterialer,skønlitteratur,62371455;99122597092805763,<NA>,17855
Søsterklokkerne,Lars Mytting,Bog,voksenmaterialer,"historiske romaner,landliv",46501454;61745904;39138816;9920615945505762;99122030059105763;99122581770705763,<NA>,17865
Alle blomsterne i Paris,Sarah Jio,Bog,voksenmaterialer,skønlitteratur,47342856;47956218,<NA>,18686
Hurra for Lille Frø,Jakob Martin Strid,Billedbog,børnematerialer,skønlitteratur,52121914;99122226444505763,<NA>,17658
Proxy,Steffen Jacobsen (f. 1956),Bog,voksenmaterialer,krimi,47039274,<NA>,17644
Den franske fotograf,Natasha Lester,Bog,voksenmaterialer,skønlitteratur,48343317;61458549;99123440465805763;99123890648905763,<NA>,17843
De udstødte,Elly Griffiths,Bog,voksenmaterialer,krimi,47706033;53998860;27754856;28778821;39392623;05437415;99122666517005763;99122785231605763;9920698525005762,<NA>,18579
Årene,Annie Ernaux,Bog,voksenmaterialer,skønlitteratur,38808311;52633184;136077643;99123745670505763,<NA>,18044
Datteren,Anne B. Ragde,Bog,voksenmaterialer,slægtsromaner,47189543;61482059;38990608;46931009;99122024695305763;04347412,<NA>,29383
Det tavse vidne,Elly Griffiths,Bog,voksenmaterialer,krimi,47052319;48356567;05131804;99122054248305763,<NA>,17278
Mørket,Ragnar Jónasson (f. 1976),Bog,voksenmaterialer,krimi,38600443;62371552;51297202;04316150,<NA>,17602
Hvor den sidste lygte lyser,Mari Jungstedt,Bog,voksenmaterialer,skønlitteratur,62623357,<NA>,17137
Håbets rejsende,Isabel Allende,Bog,voksenmaterialer,historiske romaner,48819443,<NA>,17134
Da Mumbo Jumbo blev kæmpestor,Jakob Martin Strid,Billedbog,"folkeskoleniveau,børnematerialer",dyrefortællinger,54472404,<NA>,17132
Ternet Ninja 2,Anders Matthesen,Bog,børnematerialer,sjove bøger,46718208;39286149,<NA>,18630
Nådesløse kvinder,Camilla Läckberg,Bog,voksenmaterialer,krimi,48903495;99123538145005763,<NA>,17126
Margrete I,Anne Lise Marstrand-Jørgensen,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",48739881;38621785;22936506;99123520496605763,<NA>,17116
Pitbull,Anne Mette Hancock,Bog,voksenmaterialer,krimi,47472628;47578744;27676707,<NA>,17448
Kriger uden maske,Hanne-Vibeke Holst,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",134692383,<NA>,17046
Mellem himmel og hav,Anna Fredriksson (f. 1966),Bog,voksenmaterialer,"landliv,slægtsromaner",46413318;38409093;99122548289005763,<NA>,17098
En dag vil vi grine af det,Thomas Korsgaard (f. 1995),Bog,voksenmaterialer,skønlitteratur,54078714;47137675;61482636;99123305066005763,<NA>,18082
"Vi er det liv, vi lever",Svend Brinkmann,Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,38810928,<NA>,16898
De stumme piger,Steffen Jacobsen (f. 1956),Bog,voksenmaterialer,krimi,48488226;61882758,<NA>,17049
Sallys far får fodboldfeber,Thomas Brunstrøm,Billedbog,børnematerialer,skønlitteratur,62763671,<NA>,16786
Bob,Helle Helle,Bog,voksenmaterialer,skønlitteratur,38484508;61384723;23568764;54149352;45480194;62767901,<NA>,16782
Dengang Sallys far var dreng,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",51602099;46718984,<NA>,31754
Vitello rejser på charterferie,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,48218067,<NA>,16556
Det er de oprørske der svigter,"Lise Ringhof,Erik Valeur",Bog,voksenmaterialer,slægtsromaner,39491923,<NA>,16524
Yngre med årene,Bente Klarlund Pedersen,Bog,"alment niveau,voksenmaterialer",sundhed i alm.,48739806,<NA>,16510
Atlas - Historien om Pa Salt,,Bog,voksenmaterialer,,134823658,<NA>,16470
"Det, du ikke vil vide",Birgithe Kosovic´,Bog,voksenmaterialer,"biografiske romaner,samfundsskildringer",48486835;99123456856305763,<NA>,16330
"Stærk, let og mæt",Anne Hjernøe,Bog,"alment niveau,voksenmaterialer",ernæring,46485157;99122029902605763,<NA>,16325
Flunkerne og fabeldyrene,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,54966563,<NA>,16321
Lev mere tænk mindre,Pia Callesen,Bog,"alment niveau,voksenmaterialer",affektive sindslidelser. skizofreni,53134599;99122716832405763;99122926341705763,<NA>,16215
Vitello ønsker et ønske,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,46955218,<NA>,16175
Villa Serenas hemmelighed,Domenica De Rosa (f. 1963),Bog,voksenmaterialer,skønlitteratur,48140343;39534053;99123859695705763,<NA>,16177
Vitello redder verden,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,53664636,<NA>,16128
Min mormors gebis,Jakob Martin Strid,Billedbog,børnematerialer,"rim,sjove bøger",26514053;27256430;000116594;99122141731905763,<NA>,17341
Vitello går til pigefødselsdag,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,51975707,<NA>,16079
Den hemmelige arv,Natasha Lester,Bog,voksenmaterialer,historiske romaner,38800329;135952516;99122879314505763,<NA>,16083
Den tavse patient,Alex Michaelides (f. 1977),Bog,voksenmaterialer,"domestic noir,psykologisk thriller",47684056;99123305619905763;61745777,<NA>,16064
Overleverne,Alex Schulman,Bog,voksenmaterialer,skønlitteratur,38618393;39089831;134151323;61896015;99123667309205763;99124251491305763,<NA>,16261
Forsvundet i mørket,Elly Griffiths,Bog,voksenmaterialer,krimi,61395296;135764345;20064919,<NA>,16055
Et mørke iblandt os,Mari Jungstedt,Bog,voksenmaterialer,"krimi,politiromaner",46685334;47848636,<NA>,16017
Det der skiller os,Brit Bennett,Bog,voksenmaterialer,slægtsromaner,39147769;61897372,<NA>,15941
Wimpy Kid. Bind 1,Jeff Kinney,Bog,børnematerialer,"dagbøger,humor",29570434;61777822,<NA>,16959
Det hele handler ikke om dig,Niels Overgaard (f. 1981-01-22),Bog,"alment niveau,voksenmaterialer",praktisk etik i alm.,47763231;99123331891705763,<NA>,15770
Hajsværdet,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,53652115;54225172;99122547455705763;99121912215405763,<NA>,22139
Flyvebogen - rejsen til monstrenes ø,Jakob Martin Strid,Billedbog,børnematerialer,sjove bøger,47115523;47121108;99123304149405763,<NA>,15747
Glasvinge,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",53975542;46295668,<NA>,16337
Om hundrede år,Anna Elisabeth Jessen,Bog,voksenmaterialer,slægtsromaner,46039696;46472136;46425812,<NA>,15719
Da Lille Madsens hus blæste væk,Jakob Martin Strid,Billedbog,børnematerialer,skønlitteratur,27367992;29994706;29765383;99122932341105763,<NA>,15916
Villads fra Valby som dyrepasser,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,54170238,<NA>,15527
Smaragdsliberen,Anne-Cathrine Riebnitzsky,Bog,voksenmaterialer,skønlitteratur,54884230;99122176180405763,<NA>,15509
Vitello passer Mor,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,29572232,<NA>,15400
Højsangen fra Palermovej,Annette Bjergfeldt,Bog,voksenmaterialer,slægtsromaner,48144853,<NA>,15329
Den eventyrlige rejse,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,52045851;29212872,<NA>,15352
Flunkernes Danmarkshistorie,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,53284949,<NA>,15291
Kniv,Jo Nesbø,Bog,voksenmaterialer,krimi,46510534;46632621;62247576;000134822;38519395,<NA>,15533
Hvor lyset er,Malene Ravn (f. 1971),Bog,voksenmaterialer,biografiske romaner,48232841;48651933;48486509;99123419309105763,<NA>,15277
Halvt i himlen,Lone Hørslev,Bog,voksenmaterialer,historiske romaner,39263084;61483446;99123812127205763,<NA>,15191
Villads fra Valby taber en tand,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,53428975,<NA>,15168
Syersken fra Paris,Fiona Valpy,Bog,voksenmaterialer,slægtsromaner,38590014,<NA>,15167
Soldier Blue,"Lotte Hammer,Søren Hammer",Bog,voksenmaterialer,"krimi,politiromaner",47186757;99122550327405763,<NA>,15142
Aldrig,Ken Follett,Bog,voksenmaterialer,spænding,39615584,<NA>,15038
Aftentid og morgengry,Ken Follett,Bog,voksenmaterialer,historiske romaner,48022456;48780725,<NA>,15006
Find Holger nu,Martin Handford,Billedbog,børnematerialer,gå på opdagelse,52815290,<NA>,14991
Stemmer fra graven,Elly Griffiths,Bog,voksenmaterialer,krimi,48763987,<NA>,14959
Brombærvinter,Sarah Jio,Bog,voksenmaterialer,spænding,48727204;62163534;99123832534705763,<NA>,14994
Engletræet,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,52384842;53299253;99122333658405763,<NA>,15218
Viljetyven. Bog 1,Jan Kjær (f. 1971),Bog,børnematerialer,"fantasy,spænding",52666430,<NA>,14795
Kastanjemanden,Søren Sveistrup,Bog,voksenmaterialer,"krimi,politiromaner",54167369;47137632;61807969;45965899;99122516791405763;99123304146505763;99122355512705763;99121947865705763,<NA>,15240
"Pige, 1983",Linn Ullmann,Bog,voksenmaterialer,biografiske romaner,134005815;135943959;99124187311305763;9921196634105762,<NA>,14718
Voksnes løgnagtige liv,Elena Ferrante,Bog,voksenmaterialer,udviklingsromaner,48630111,<NA>,14676
Strik,Lærke Bagger,Bog,"alment niveau,voksenmaterialer",strikning,39490358;38427504;54219695;51972716;24939324;24950697;99123646245605763;99123860465505763;46499522;25501284;43983229;99122526136705763,<NA>,23156
Det vågne hjerte,Merete Pryds Helle,Bog,voksenmaterialer,skønlitteratur,62108274;29574391;99122534507005763;136203215,<NA>,14830
Et rigtigt liv,Katrine Marie Guldager,Bog,voksenmaterialer,dannelsesromaner,46520866;99122582019305763;38300873,<NA>,14655
Ædru,Jesper Stein,Bog,voksenmaterialer,skønlitteratur,62108347;99124031240905763,<NA>,14645
Skyggedalen,Viveca Sten,Bog,voksenmaterialer,skønlitteratur,62005424;136139746,<NA>,14622
Bare numser,Annika Leone,Billedbog,børnematerialer,skønlitteratur,47498694;22852906;99122631767905763,<NA>,14621
Villa Havbrise,Caroline Säfstrand (f. 1972),Bog,voksenmaterialer,skønlitteratur,48343198;61458514;99123440274305763,<NA>,14610
Vitello gør en god gerning,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,50507009,<NA>,14509
Vitello tigger en masse slik,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,51378040,<NA>,14477
Et hav af minder,Fiona Valpy,Bog,voksenmaterialer,skønlitteratur,48198376;61744827,<NA>,14467
Kærlighed,,Bog,"alment niveau,voksenmaterialer",emotionspsykologi,48903576;50837084;25112911;06925650;50798542;134056576;29835454;05986575;21607347;22437143;29098670;25415876;50643441;20643897;26996112;99122625219405763;05514908;99124197027405763;99122856255805763;22042416;25110978;06457010;99122869617505763;20366664;05810957;05591201;28771541;99122356273105763;40157891;99122501558305763,<NA>,16146
Hende der må dø,David Lagercrantz,Bog,voksenmaterialer,krimi,46632451;99123304110505763;99123652404605763,<NA>,14372
Urmagerens datter,Kate Morton,Bog,voksenmaterialer,landliv,46232917,<NA>,14331
Mytomanen,Sofie Sarenbrant,Bog,voksenmaterialer,"femikrimi,krimi",48839843;47866219,<NA>,14350
Stormfald,Tove Alsterdal,Bog,voksenmaterialer,"krimi,politiromaner",38972618;134320265,<NA>,14236
Find Holger i eventyrland,Martin Handford,Billedbog,børnematerialer,gå på opdagelse,46132718,<NA>,14213
I Guds rige,Anne-Grethe Bjarup Riis,Bog,voksenmaterialer,biografiske romaner,48487734;99123460815005763,<NA>,14190
Find Holger - den eventyrlige rejse,Martin Handford,Billedbog,børnematerialer,gå på opdagelse,52815312,<NA>,14124
Grøn aftensmad,Ann-Christine Hellerup Brandt,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,48926533;99123538266105763,<NA>,14070
Her var en mand,Jeffrey Archer,Bog,voksenmaterialer,slægtsromaner,46499581;99122528895605763,<NA>,14058
Villads fra Valby har fødselsdag,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,46972996,<NA>,14014
Aftensmad,Ann-Christine Hellerup Brandt,Bog,"alment niveau,voksenmaterialer",madlavning,47039177;52944384;25468848;99123313463805763;99122314271605763;26521904;24903818,<NA>,14782
Hemmeligt begravet,Viveca Sten,Bog,voksenmaterialer,krimi,47819873;61744754,<NA>,13982
Violeta,Isabel Allende,Bog,voksenmaterialer,skønlitteratur,62355026;61689605;61687246;99124746036505763,<NA>,14328
Villads fra Valbys uhyggelige halloween,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,52616417,<NA>,13959
Fodbold med flunkerne,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,45937925;26247888;27759807,<NA>,15058
Gurli Gris og den magiske enhjørning,,Billedbog,børnematerialer,skønlitteratur,46369998,<NA>,13878
Den ugifte hertug,Julia Quinn (f. 1970),Bog,voksenmaterialer,historiske romaner,48008283;61372628;99123356355605763,<NA>,13875
Villads fra Valby passer sig selv,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,53203744,<NA>,13845
Manta og skovpiraterne,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,51772768;99122665069605763,<NA>,13809
Tour de chambre,Tine Høeg (f. 1985),Bog,voksenmaterialer,skønlitteratur,48259936;48676081,<NA>,13773
Skammekrogen,Sofie Sarenbrant,Bog,voksenmaterialer,"femikrimi,krimi",47070473;48344143;28043031,<NA>,13771
Villads fra Valby spiller fodbold,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,48024181,<NA>,13676
Torsdagsmordklubben,Richard Osman,Bog,voksenmaterialer,"humor,krimi",39406233;62412224,<NA>,13631
Et mere enkelt liv,Anna Fredriksson (f. 1966),Bog,voksenmaterialer,slægtsromaner,47678617;61904808,<NA>,13608
Jan Kjærs Nomerne - skønhedsdrikken,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,47892295;99123355710305763,<NA>,13578
I ruiner,Morten Pape (f. 1986),Bog,voksenmaterialer,samfundsskildringer,61395024;99124108638405763,<NA>,13393
