faust_number,isbn,book_title,book_author,isbn_scraped,top10k
61510141,,Vand til blomster,Valérie Perrin,,30
38748424,,Kvinde set fra ryggen,Jesper Wung-Sung,,31
38380176,,Sallys far er en dårlig taber,Thomas Brunstrøm,,32
46272048,,Offer 2117,Jussi Adler-Olsen,,33
54997752,9788793681194.0,Kunsten at være f*cking ligeglad,Mark Manson (f. 1984),9788794020800,34
53366775,9788711783269.0,Dit selvhelbredende sind,Mette Louise Holland,9788793046610,35
27445098,9788702073423.0,Ellen Hillingsø læser Ronja Røverdatter,Astrid Lindgren,,36
46411005,,Helenas hemmelighed,Lucinda Riley,9788702311273,37
47385555,,Skyggedanseren,Sara Omar,,38
52476569,9788711669396.0,Verdens 100 farligste dyr,Sebastian Klein,9788711565094,39
39081253,,Sallys far bliver youtuber,Thomas Brunstrøm,,40
48888445,,Kaptajnen og Ann Barbara,Ida Jessen (f. 1964),9788702299007,41
53727999,9788793447264.0,Sallys far bøgerne,Thomas Brunstrøm,,42
48487327,,Det er de danske som flygter,"Lise Ringhof,Erik Valeur",,43
48488161,,Som natten kender stjernerne,Elsebeth Egholm,9788740060577,44
47588529,,"Indtil vanvid, indtil døden",Kirsten Thorup,9788702270624,45
48839711,,Rampen,Jesper Stein,9788740052343,46
47079888,,Skytsengel,Michael Katz Krefeld,,47
46831438,,Ræk mig stjernerne,Jojo Moyes,9788702309751,48
27444806,9788702073416.0,Ellen Hillingsø læser Brødrene Løvehjerte,Astrid Lindgren,,49
52956919,9788711738627.0,Hvis der skulle komme et menneske forbi,Thomas Korsgaard (f. 1995),9788711906187,50
47239893,,En lykkelig slutning,Maren Uthaug,9788727007113,51
61383921,,Imperiet,Michael Katz Krefeld,,52
29283079,9788702127140.0,Liv på spil,Søren Jessen (f. 1963),9788702107500,53
52557240,,De syv søstre,Lucinda Riley,,54
134692448,,Elins død,Sara Blædel,9788740070675,55
48486789,,Vinger af sølv,Camilla Läckberg,9788772009452,56
52673542,,Kvinderne fra Thy,Maria Helleberg,9788763841955,57
46370678,,Det gyldne bur,Camilla Läckberg,,58
47763509,,Vildskud,Julie Hastrup,9788740070682,59
46944569,,Frank vender hjem,Kristian Bang Foss,9788702281316,60
134490012,,Det brændende blad,Katrine Engberg,9788772392585,61
134015012,,Skyggeriget,,,62
27320791,9788702048032.0,Orla Frø-Snapper,Ole Lund Kirkegaard,9788702153545,63
48295622,,Jeg kan se dig,Mari Jungstedt,,64
61586725,,Barnet fra Thy,Maria Helleberg,,65
47995655,9788702301397.0,Skammerens datter,Lene Kaaberbøl,9788763828154,66
62356456,,Den røde glente,Elsebeth Egholm,9788775932269,67
27302963,9788702048070.0,Otto er et næsehorn,Ole Lund Kirkegaard,,68
61473297,,Polarcirklen,Liza Marklund,9788772384085,69
48486762,,Kongeriget,Jo Nesbø,9788770076197,70
62208066,,Lenins bodyguard,Leif Davidsen,9788727020631,71
54945094,,Mørket kalder,Michael Katz Krefeld,,72
62267054,,Tre dage i april,"Jesper Bugge Kold,Mich Vraa",,73
53787452,,"Den, der lever stille",Leonora Christina Skov,9788740049428,74
39074184,,Døden i kurbadet,Anna Grue,9788711981351,75
54189141,,Månesøsteren,Lucinda Riley,,76
52088437,,Mimbo Jimbo bygger et fyrtårn,Jakob Martin Strid,9788702184211,77
134136391,,11%,Maren Uthaug,,78
29269815,,Den utrolige historie om den kæmpestore pære,Jakob Martin Strid,,79
62701641,,Uglens øje,Sissel-Jo Gazan,9788740091229,80
39055686,,Man skulle nok have været der,Thomas Korsgaard (f. 1995),,81
48140122,,Forræderens børn,Leif Davidsen,,82
48263062,9788726440638.0,"Naja Münster - ferie, fjender og flødeskum",Line Kyed Knudsen,9788711983478,83
53802001,,Perlesøsteren,Lucinda Riley,,84
52722659,9788711708439.0,Verdens 100 mærkeligste dyr,Sebastian Klein,9788711556856,85
38723286,,Inden skyerne kommer,Mari Jungstedt,9788772381121,86
53280749,,Skyggesøsteren,Lucinda Riley,9788763850209,87
47364663,9788726210101.0,Sallys fars fede ferie,Thomas Brunstrøm,9788711914892,88
52970628,,Stormsøsteren,Lucinda Riley,,89
61431217,,Sallys far slår til igen,Thomas Brunstrøm,,90
53970303,9788763846240.0,Villads fra Valby i 0.V,Anne Sofie Hammer (f. 1972-02-05),,91
53900151,9788771655735.0,Elefanten der så gerne ville sove,Carl-Johan Forssén Ehrlin,9788771653717,92
52386950,,Sallys far er sygt pinlig,Thomas Brunstrøm,,93
46332857,9788702283884.0,De Hemmelige Youtubere,Maria Rørbæk,9788702277203,94
54166265,,Kærlighedsbrevet,Lucinda Riley,,95
38609734,,De usynlige,Lone Theils,,96
48039367,9788726299274.0,Sallys far kringler julen,Thomas Brunstrøm,,98
48004156,,Vaniljehuset,Mich Vraa,,99
52722799,9788711708453.0,Verdens 100 vildeste dyr,Sebastian Klein,9788727013428,100
39517132,,Box,"Camilla Läckberg,Henrik Fexeus",9788772382852,101
53259235,,Sallys far bander (- ad helvede til),Thomas Brunstrøm,,102
38714554,,Gopler ældes baglæns,Nicklas Brendborg,,103
46608674,,Savnet,Lone Theils,9788775934874,104
39607166,9788727006253.0,Kaptajn Underhyler i farver - det første eventyr,Dav Pilkey,9788711985168,105
51363035,,Mimbo Jimbo og den lange vinter,Jakob Martin Strid,,106
38549545,,Det samme og noget helt andet,Katrine Marie Guldager,9788740064667,107
52263239,9788711594018.0,Krokodillevogteren,Katrine Engberg,,108
51923367,,Sallys far gider ikke være voksen,Thomas Brunstrøm,,109
61411437,,Vindens port,Anne-Cathrine Riebnitzsky,,110
62600772,,Kryb,Julie Hastrup,,111
38617222,,Offermageren,Viveca Sten,9788772391830,113
48907431,9788758840925.0,"Bamser, bomber og brødristere","Kristoffer Jacob Andersen,Niki Topgaard",,115
27311954,9788702051919.0,Thomas Winding læser Pippi Langstrømpe,Astrid Lindgren,,116
47934702,,Vitello begynder i skole,Kim Fupz Aakeson,9788702295832,117
48232124,,Når violerne blomstrer,Sarah Jio,9788712064565,118
48489613,,Spejlmanden,Lars Kepler,9788702284546,119
47678749,,Øjet der ser,Jeffrey Archer,9788711996355,120
48023738,9788726194548.0,Verdens 100 klammeste dyr,Sebastian Klein,,121
51154355,9788711385388.0,Den store Prop og Berta bog. 2,Bent Solhof,,122
61860762,,Vittu,Iben Mondrup,9788740064650,123
39160358,,Undergravet,Lone Theils,,124
38527061,9788702324129.0,Wimpy Kid. Bog 1,Jeff Kinney,9788702126754,126
47303087,,Flunkerne i H.C. Andersens univers,"Joaquín Cera,Juan Carlos Ramis",,127
39082144,,Døden mellem linjerne,Elly Griffiths,9788712062820,128
39082713,,Gladiator,Jens Henrik Jensen (f. 1963),,129
47110173,,Stilleleg,Lone Theils,,131
38656996,,Kvinden i blåt,Elly Griffiths,9788712071433,132
38762311,,Hvis vi ikke taler om det,Leonora Christina Skov,9788740002607,133
27303013,9788702048094.0,Gummi Tarzan,Ole Lund Kirkegaard,9788701239813,134
62371455,,Nøglen til mord,Anna Grue,,135
46501454,,Søsterklokkerne,Lars Mytting,9788702314144,136
53518222,9788763855235.0,Selfie Simon,Susanne Foldberg (f. 1970),9788763854689,137
47342856,,Alle blomsterne i Paris,Sarah Jio,9788712061137,138
51088239,9788711356197.0,Afsporet,Michael Katz Krefeld,,139
52121914,,Hurra for Lille Frø,Jakob Martin Strid,9788702177695,140
47039274,,Proxy,Steffen Jacobsen (f. 1956),9788711987872,141
48343317,,Den franske fotograf,Natasha Lester,9788772390635,142
54627971,9788772008530.0,Bubbi - den talende hund,"Morten Münster (f. 1997),Merlin P. Mann",9788771808803,143
53970451,9788763846196.0,Villads fra Valby,Anne Sofie Hammer (f. 1972-02-05),9788763810425,144
28436246,9788702103632.0,Karius og Baktus,Thorbjørn Egner,,145
47706033,,De udstødte,Elly Griffiths,9788712064596,146
38808311,,Årene,Annie Ernaux,,147
47189543,,Datteren,Anne B. Ragde,9788763858144,148
47052319,,Det tavse vidne,Elly Griffiths,9788712058069,149
52445566,9788711527474.0,De største fodboldlegender,Christian Mohr Boisen,,150
